,Year,Week,Date,Need States,Sales
493,2022,47,2022-11-21,Need State 4,643941.0
494,2022,47,2022-11-21,Need State 5,518326.5
495,2022,48,2022-11-28,Need State 1,1144957.5
496,2022,48,2022-11-28,Need State 2,532884.0
497,2022,48,2022-11-28,Need State 3,322858.5
498,2022,48,2022-11-28,Need State 4,470153.25
499,2022,48,2022-11-28,Need State 5,833511.75
500,2022,49,2022-12-05,Need State 1,316549.5
501,2022,49,2022-12-05,Need State 2,336580.5
502,2022,49,2022-12-05,Need State 3,404150.25
503,2022,49,2022-12-05,Need State 4,252555.0
504,2022,49,2022-12-05,Need State 5,567624.75
505,2022,50,2022-12-12,Need State 1,228326.25
506,2022,50,2022-12-12,Need State 2,530332.5
507,2022,50,2022-12-12,Need State 3,397554.75
508,2022,50,2022-12-12,Need State 4,507743.25
509,2022,50,2022-12-12,Need State 5,207589.5
510,2022,51,2022-12-19,Need State 1,221402.25
511,2022,51,2022-12-19,Need State 2,455372.25
512,2022,51,2022-12-19,Need State 3,354156.75
513,2022,51,2022-12-19,Need State 4,481603.5
514,2022,51,2022-12-19,Need State 5,279925.5
515,2022,52,2022-12-26,Need State 1,145563.75
516,2022,52,2022-12-26,Need State 2,525502.5
517,2022,52,2022-12-26,Need State 3,371010.75
518,2022,52,2022-12-26,Need State 4,347997.0
519,2022,52,2022-12-26,Need State 5,105966.0
520,2023,1,2023-01-02,Need State 1,230725.5
521,2023,1,2023-01-02,Need State 2,355815.0
522,2023,1,2023-01-02,Need State 3,323960.25
523,2023,1,2023-01-02,Need State 4,317171.25
524,2023,1,2023-01-02,Need State 5,212403.0
525,2023,2,2023-01-09,Need State 1,402216.75
526,2023,2,2023-01-09,Need State 2,304145.25
527,2023,2,2023-01-09,Need State 3,309346.5
528,2023,2,2023-01-09,Need State 4,275616.0
529,2023,2,2023-01-09,Need State 5,591490.5
530,2023,3,2023-01-16,Need State 1,227010.0
531,2023,3,2023-01-16,Need State 2,332245.5
532,2023,3,2023-01-16,Need State 3,340034.25
533,2023,3,2023-01-16,Need State 4,759098.25
534,2023,3,2023-01-16,Need State 5,509800.5
535,2023,4,2023-01-23,Need State 1,660403.5
536,2023,4,2023-01-23,Need State 2,718207.5
537,2023,4,2023-01-23,Need State 3,435669.0
538,2023,4,2023-01-23,Need State 4,354993.0
539,2023,4,2023-01-23,Need State 5,457559.25
540,2023,5,2023-01-30,Need State 1,216312.75
541,2023,5,2023-01-30,Need State 2,282531.75
542,2023,5,2023-01-30,Need State 3,320430.75
543,2023,5,2023-01-30,Need State 4,405148.5
544,2023,5,2023-01-30,Need State 5,512340.75
545,2023,6,2023-02-06,Need State 1,470031.75
546,2023,6,2023-02-06,Need State 2,447660.75
547,2023,6,2023-02-06,Need State 3,511701.0
548,2023,6,2023-02-06,Need State 4,499875.0
549,2023,6,2023-02-06,Need State 5,317072.25
550,2023,7,2023-02-13,Need State 1,970320.75
551,2023,7,2023-02-13,Need State 2,524059.5
552,2023,7,2023-02-13,Need State 3,313763.25
553,2023,7,2023-02-13,Need State 4,417354.75
554,2023,7,2023-02-13,Need State 5,247135.5
555,2023,8,2023-02-20,Need State 1,675896.25
