,Year,Week,Date,Need States,Factory POS
173,2021,29,2021-07-19,Need State 6,580917.75
174,2021,30,2021-07-26,Need State 1,595377.75
175,2021,30,2021-07-26,Need State 2,307947.0
176,2021,30,2021-07-26,Need State 3,500107.5
177,2021,30,2021-07-26,Need State 4,379473.75
178,2021,30,2021-07-26,Need State 5,114351.75
179,2021,30,2021-07-26,Need State 6,623953.5
180,2021,31,2021-08-02,Need State 1,547923.0
181,2021,31,2021-08-02,Need State 2,416457.75
182,2021,31,2021-08-02,Need State 3,313391.25
183,2021,31,2021-08-02,Need State 4,416781.0
184,2021,31,2021-08-02,Need State 5,162773.25
185,2021,31,2021-08-02,Need State 6,643022.25
186,2021,32,2021-08-09,Need State 1,551245.5
187,2021,32,2021-08-09,Need State 2,314933.25
188,2021,32,2021-08-09,Need State 3,389408.25
189,2021,32,2021-08-09,Need State 4,397534.5
190,2021,32,2021-08-09,Need State 5,101369.25
191,2021,32,2021-08-09,Need State 6,587031.0
192,2021,33,2021-08-16,Need State 1,695661.75
193,2021,33,2021-08-16,Need State 2,384623.25
194,2021,33,2021-08-16,Need State 3,340911.75
195,2021,33,2021-08-16,Need State 4,373126.5
196,2021,33,2021-08-16,Need State 5,115697.25
197,2021,33,2021-08-16,Need State 6,563960.25
198,2021,34,2021-08-23,Need State 1,687503.25
199,2021,34,2021-08-23,Need State 2,313235.25
200,2021,34,2021-08-23,Need State 3,461373.0
201,2021,34,2021-08-23,Need State 4,438381.0
202,2021,34,2021-08-23,Need State 5,90660.75
203,2021,34,2021-08-23,Need State 6,561347.25
204,2021,35,2021-08-30,Need State 1,740111.25
205,2021,35,2021-08-30,Need State 2,383862.75
206,2021,35,2021-08-30,Need State 3,319853.25
207,2021,35,2021-08-30,Need State 4,492462.0
208,2021,35,2021-08-30,Need State 5,60320.25
209,2021,35,2021-08-30,Need State 6,635652.75
210,2021,36,2021-09-06,Need State 1,656641.5
211,2021,36,2021-09-06,Need State 2,318623.25
212,2021,36,2021-09-06,Need State 3,472932.0
213,2021,36,2021-09-06,Need State 4,397526.25
214,2021,36,2021-09-06,Need State 5,54356.25
215,2021,36,2021-09-06,Need State 6,572483.25
216,2021,37,2021-09-13,Need State 1,478269.75
217,2021,37,2021-09-13,Need State 2,369570.75
218,2021,37,2021-09-13,Need State 3,293533.5
219,2021,37,2021-09-13,Need State 4,499152.0
220,2021,37,2021-09-13,Need State 5,28747.5
221,2021,37,2021-09-13,Need State 6,473444.25
222,2021,38,2021-09-20,Need State 1,487155.75
223,2021,38,2021-09-20,Need State 2,285762.0
224,2021,38,2021-09-20,Need State 3,402376.5
225,2021,38,2021-09-20,Need State 4,420957.0
226,2021,38,2021-09-20,Need State 5,26284.5
